Name,Items Available,days,Hours,Address,Contact,Notes,Website
Yolo County Fairgrounds - John Rogers Hall,Canned and dry goods,2023-05-24,10:00am - 10:30am,"1250 Gum Avenue, Woodland, CA 95776, USA",(530) 668-0690,Client must meet income requirements. Please bring your own bags or cart.,na
Yolo County Housing Authority,Canned and dry goods,2023-05-18,11:00am - 12:00pm,"62 Shams Way, Winters, CA 95694, USA",(530) 668-0690,Client must meet income requirements. Please bring your own bags or cart.,na
Yolo Library,Fruits and vegetables,2023-05-04,10:45am - 11:45am,"37750 Sacramento St, Yolo, CA 95697, USA",(530) 668-0690,Please bring your own bags or cart.,na
Yolo Library,Canned and dry goods,2023-05-19,8:30am - 10:00am,"37750 Sacramento St, Yolo, CA 95697, USA",(530) 668-0690,Client must meet income requirements. Please bring your own bags or cart.,na
Madison Community Committee Food Closet,"Canned, Dry Goods, Dairy, Produce, Bread, Meat, Fruits, Vegetables","2023-05-08,2023-05-22",4:00pm - 5:00pm,"28963 Main St, Madison, CA 95653, USA",(530) 668-0955,na,https://www.facebook.com/madisoncommunitycommitee/
Mutual Housing at Springlake,Canned and dry goods,2023-05-21,5:30pm - 6:30pm,"2170 Farmer Central Rd, Woodland, CA 95776, USA",(530) 669-5767,Client must meet income requirements. Please bring your own bags or cart.,na
"Rise, Inc.",Canned and Dry Goods,"2023-05-09,2023-05-23",11:00am - 12:00pm,"17317 Fremont St, Esparto, CA 95627, USA",(530) 787-4110,Client must meet income requirements. Please bring your own bags or cart.,na
Trinity Presbyterian Church,Groceries,2023-05-22,6:30pm - 7:30pm,"1500 Park Blvd, West Sacramento, CA 95691, USA",(916) 371-5875,Please bring your own bag or cart.,http://www.trinitywestsac.org
Sacramento City College - Davis Center,Groceries.,2023-05-24,12:00pm - 1:00pm,"1720 Jade Street, Davis, CA, USA",(530) 747-5200,Please bring your own bags or cart.,https://www.scc.losrios.edu/daviscenter/
Winters HHSA Service Center,"Produce, groceries, and canned and dry goods",2023-05-18,4:00pm - 6:00pm,"111 East Grant Avenue, Winters, CA, USA",(530) 661-2750,Please bring your own bags or cart.,na
Yolo County Housing - Woodland,USDA Commodities,2023-05-04,4:00pm - 5:30pm,"1230 Lemen Avenue, Woodland, CA, USA",530-669-2264,Client must meet income requirements. Please bring your own bags or cart.,na
Masjid Aisha,Groceries. Pork excluded,2023-05-10,9:30 a.m. - While supplies last,"700 Glide Avenue, West Sacramento, CA, USA",(530) 668-0690,Please bring your own bags or cart,na
Woodland Community College,Groceries,2023-05-06,12:00pm until supplies last,"2300 E. Gibson Rd., Woodland, CA 95776, Building 700",5306680690,"Although on the WCC campus, this distribution is open to all! Please bring your own bags. Parking not enforced on distribution days.",na
Sacramento City College - West Sacramento Center,Groceries,"2023-05-02,2023-05-17",12:00pm until supplies last,"1115 West Capitol Avenue, West Sacramento, CA, USA",na,Please bring your own bags or cart.,https://www.scc.losrios.edu/westsaccenter/
Kentucky Avenue Church of Christ,Canned and Dry Goods,"2023-05-03,2023-05-17",10:00 AM - 12:00 PM or until supplies last,"470 Kentucky Avenue, Woodland, CA, USA",NA,Client must meet income requirements,na
Woodland Community College Food Closet,"Canned, Dry Goods",2023-05-20,9:00am - 4:30pm,"2300 E. Gibson Rd, Room 802/809, Woodland, CA 95776, USA",(530) 668-2577,Must be a WCC student.,https://wcc.yccd.edu/student/student-outreach-retention-office/foodpantry/
The Sanctuary,Groceries,"2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05",9:00am - 12:00pm,"825 East St, Suite 118, Woodland, CA 95776, USA",(530) 219-6263,Referral required. Call for more information.,http://www.thesanctuarywoodland.org/
Calvary Chapel of Zamora Food Pantry,"Canned, Dry Goods, Dairy, Produce, Bread, Meat",2023-05-05,11:00 AM - 12:00 PM,"9974 Main St, Zamora, CA 95698, USA",(530) 402-7002,na,na
Salvation Army,"USDA Commodities, Canned and Dry Goods",2023-05-24,1:30pm - 4:00pm,"413 Main St, Woodland, CA 95695, USA",(530) 661-0141,na,https://www.facebook.com/SalvationArmyWoodlandCa/
Pregnancy Support Group of Woodland,"Emergency Food, Baby Supplies",2023-05-18,10:00am - 4:00pm,"120 Court St, Woodland, CA 95695, USA",(530) 661-6333,For mothers only.,https://pregnancysupportgroup.info/
Calvary Chapel of Woodland Food Pantry,"Canned, Dry Goods",2023-05-04,Appointment only.,"1580 Case Place, Woodland, CA 95776, USA",(530) 661-7385,Call to make an appointment.,http://www.ccwoodland.org/
Holy Rosary Food Pantry,"Canned, Dry Goods, Refrigerated and Frozen Foods",2023-05-19,"M: 1:00pm - 2:00pm, Th: 10:00am - 11:30am","315 Walnut St, Woodland, CA 95695, USA",(530) 662-5233,Call to make an appointment.,https://www.holyrosary.com/
United Methodist Church Personal Care Pantry,"Canned, Dry Goods, Toiletries","2023-05-08,2023-05-22",5:00pm - 6:00pm,"212 Second St, Woodland, CA 95695, USA",(530) 662-6274,Personal care pantry.,https://www.umcwoodland.org
Woodland Volunteer Food Closet,"Canned, Dry Goods, Bread, Frozen Foods",2023-05-03,3:15pm - 4:30pm,"509 College St, Woodland, CA 95695, USA",(530) 662-7020,Must obtain referral from a social services organization. Can receive service once every six months. Call for more information,http://woodlandfoodcloset.org/
California Human Development Corp.,Emergency food for farm workers,"2023-05-08,2023-05-15,2023-05-22,2023-05-29",9:00am - 5:00pm,"117 West Main Street Suite 1B, Woodland, CA 95695, USA",(530) 662-9601,Farm workers only.,https://californiahumandevelopment.org/
Woodland Christian Center,"Canned, Dry Goods, Frozen","2023-05-01,2023-05-03,2023-05-07,2023-05-17,2023-05-21,2023-05-31",Appointment only.,"440 California St, Woodland, CA 95695, USA",(530) 666-1070,Call to make an appointment.,http://www.wcccal.org/
Pole Line Road Baptist Church Food Closet,"Canned, Dry Goods","2023-05-03,2023-05-17",9:00am - 11:00am,"770 Pole Line Rd, Davis, CA 95618, USA",(530) 735-2566,Clients can receive services once a month.,https://www.polelinebaptist.org/?page_id=27
ASUCD The Pantry - Memorial Union 154,"Canned, Dry Goods, occasional produce and bread",2023-05-19,"M-Thur: 11:00am - 6:00pm, Friday: 11:00am - 2:00pm","University of California, Davis, Memorial Union, Shields Avenue, Davis, CA 95616, USA",na,UC Davis students only.,https://thepantry.ucdavis.edu/
Manna House Food Pantry,"Canned, Dry Goods, Refrigerated and Frozen Foods",2023-05-06,9:00am - 10:30am,"9493 Mill St, Knights Landing, CA 95645, USA",(530) 753-6227,Pantry open to public during hours.,na
Short Term Emergency Aid Committee,"Canned, Dry Goods, Dairy, Produce, Bread, Meat","2023-05-01,2023-05-07",10:00am - 11:30am and 1:30pm - 3:00pm,"640 Hawthorne Ln, Davis, CA 95616, USA",(530) 758-8435,Referral required. Call for more information. Clients can receive services once a month.,http://steac.org/
Countryside Community Church Food Closet,"Canned, Dry Goods",2023-05-18,"W: 9:00am - 12:00pm, F: 3:00pm - 5:00pm","26479 Grafton St, Esparto, CA 95627, USA",(530) 787-4110,na,na
West Sacramento Baptist Church Food Closet,"Canned, Dry Goods","2023-05-08,2023-05-15",5:00pm - 6:00pm,"2124 Michigan Blvd, West Sacramento, CA 95691, USA",(916) 371-2111,Bring proof of West Sacramento residency.,na
Our Lady of Grace St. Vincent de Paul,"Canned, Dry Goods, Bread, Frozen Foods","2023-05-03,2023-05-05",Appointment only.,"911 Park Blvd, West Sacramento, CA 95691, USA",(916) 371-5264,Call to make an appointment.,http://westsacolg.com
Davis Community Meals,Hot Meals,2023-05-07,"T & Th: 5:45pm - 6:30pm, Sat: 11:30am - 12:15pm","640 Hawthorne Ln, Davis, CA 95616, USA",(530) 753-9204,na,https://daviscommunitymeals.org/
Mercy Coalition,Hot Meals,2023-05-18,11:00am - 11:30am,"500 Jefferson Blvd, West Sacramento, CA 95605, USA",(916) 371-6706,Bagged lunch distributed behind Social Services.,https://wsmercycoalition.org/
West Sacramento Seventh Day Adventist Church,"Canned, Dry Goods","2023-05-03,2023-05-17",Appointment only.,"2860 Jefferson Blvd, West Sacramento, CA 95691, USA",(916) 372-6570,Call to make an appointment.,https://westsacramentoca.adventistchurch.org/
Holy Cross Food Locker,"Canned, Dry Goods, USDA Commodities","2023-05-02,2023-05-04,2023-05-06",4:00pm - 5:00pm,"1321 Anna St, West Sacramento, CA 95605, USA",(916) 373-3318,na,https://www.scd.org/parish/holy-cross-parish-west-sacramento
Woodland Pet Pantry,Animal Food,2023-05-07,7:30 - 9:00 AM,"1114 College St, Woodland, CA 95695, USA",na,na,na
Fourth & Hope,Hot Meals,2023-05-06,5:00pm - 5:30pm,"207 4th St, Woodland, CA 95695, USA",(530) 661-1218,na,http://www.fourthandhope.org/
United Methodist Church,Hot Meals,2023-05-25,5:00pm - 6:00pm,"212 2nd St, Woodland, CA 95695, USA",(530) 662-6274,na,https://www.umcwoodland.org/
Shores of Hope,"Canned, Dry Goods","2023-05-02,2023-05-04,2023-05-08,2023-05-11,2023-05-15,2023-05-18,2023-05-22,2023-05-25,2023-05-29,2023-05-31",Appointment only.,"110 6th St, West Sacramento, CA 95605, USA",(916) 372-0200,Must call for in for emergency food.,http://www.shoresofhope.org
